"Total cycles","Average queue length over last 25 cycles"
85,5
110,5
135,5
160,2
185,6
210,11
235,7
260,4
285,1
310,10
335,19
360,10
385,6
410,3
435,1
460,13
485,11
510,9
535,15
560,27
585,34
610,23
635,13
660,15
685,13
710,14
735,22
760,16
785,8
810,6
835,13
860,5
885,7
910,3
935,2
960,6
985,6
1010,2
1035,7
1060,15
1085,12
1110,6
1135,7
1160,4
1185,12
1210,15
1235,10
1260,24
1285,24
1310,21
1335,9
1360,6
1385,7
1410,3
1435,2
1460,10
1485,22
1510,37
1535,35
1560,28
1585,22
1610,19
1635,17
1660,19
1685,9
1710,2
1735,2
1760,14
1785,14
1810,14
1835,3
1860,14
1885,7
1910,3
1935,3
1960,3
1985,1
2010,5
2035,6
2060,4
2085,11
2110,7
2135,18
2160,9
2185,6
2210,10
2235,16
2260,27
2285,16
2310,4
2335,4
2360,3
2385,15
2410,6
2435,16
2460,18
2485,9
2510,2
2535,3
2560,7
2585,14
2610,8
2635,3
2660,4
2685,6
2710,7
2735,11
2760,11
2785,15
2810,4
2835,9
2860,9
2885,1
2910,2
2935,2
2960,1
2985,3
3010,17
3035,23
3060,19
3085,2
3110,1
3135,3
3160,3
3185,5
3210,12
3235,6
3260,10
3285,2
3310,3
3335,4
3360,2
3385,3
3410,3
3435,3
3460,2
3485,2
3510,2
3535,4
3560,6
3585,2
3610,3
3635,4
3660,12
3685,10
3710,3
3735,1
3760,3
3785,4
3810,4
3835,3
3860,8
3885,5
3910,10
3935,5
3960,7
3985,5
4010,2
4035,5
4060,5
4085,3
4110,4
4135,1
4160,1
4185,1
4210,7
4235,4
4260,2
4285,6
4310,2
4335,4
4360,20
4385,28
4410,25
4435,24
4460,23
4485,16
4510,12
4535,6
4560,10
4585,15
4610,9
4635,15
4660,4
4685,3
4710,4
4735,19
4760,14
4785,8
4810,7
4835,5
4860,4
4885,6
4910,8
4935,2
4960,3
4985,5
5010,15
5035,6
5060,3
5085,0
5110,3
5135,4
5160,15
5185,11
5210,3
5235,2
5260,4
5285,1
5310,2
5335,3
5360,7
5385,2
5410,8
5435,3
5460,5
5485,3
5510,9
5535,11
5560,6
5585,3
5610,2
5635,3
5660,12
5685,7
5710,2
5735,2
5760,4
5785,11
5810,7
5835,6
5860,4
5885,1
5910,3
5935,1
5960,3
5985,1
6010,2
6035,2
6060,1
6085,2
6110,6
6135,2
6160,13
6185,10
6210,9
6235,12
6260,1
6285,3
6310,8
6335,11
6360,9
6385,3
6410,6
6435,3
6460,2
6485,3
6510,5
6535,2
6560,3
6585,3
6610,1
6635,16
6660,22
6685,19
6710,4
6735,10
6760,15
6785,13
6810,21
6835,14
6860,4
6885,3
6910,3
6935,3
6960,3
6985,4
7010,7
7035,23
7060,20
7085,4
7110,2
7135,2
7160,2
7185,10
7210,10
7235,3
7260,5
7285,13
7310,4
7335,12
7360,23
7385,15
7410,12
7435,3
7460,5
7485,3
7510,3
7535,13
7560,15
7585,4
7610,3
7635,3
7660,3
7685,1
7710,3
7735,11
7760,3
7785,3
7810,20
7835,21
7860,8
7885,3
7910,5
7935,3
7960,5
7985,7
8010,4
8035,6
8060,4
8085,3
8110,5
8135,1
8160,3
8185,3
8210,8
8235,5
8260,1
8285,2
8310,6
8335,4
8360,3
8385,2
8410,3
8435,2
8460,15
8485,7
8510,2
8535,2
8560,4
8585,6
8610,2
8635,1
8660,2
8685,2
8710,4
8735,13
8760,5
8785,5
8810,2
8835,2
8860,8
8885,10
8910,3
8935,8
8960,4
8985,8
9010,5
9035,4
9060,8
9085,6
9110,1
9135,9
9160,18
9185,15
9210,13
9235,30
9260,21
9285,18
9310,22
9335,6
9360,11
9385,7
9410,4
9435,3
9460,4
9485,2
9510,4
9535,1
9560,2
9585,4
9610,6
9635,5
9660,7
9685,9
9710,3
9735,3
9760,3
9785,4
9810,3
9835,3
9860,4
9885,9
9910,5
9935,1
9960,1
9985,2
10010,5
10035,5
10060,4
10085,5
10110,1
10135,3
10160,2
10185,1
10210,3
10235,6
10260,2
10285,3
10310,9
10335,8
10360,2
10385,7
10410,7
10435,1
10460,2
10485,1
10510,2
10535,2
10560,2
10585,3
10610,6
10635,13
10660,3
10685,2
