"Total number of cycles","average queue length for last 25 cycles"
85,24
110,13
135,8
160,17
185,14
210,7
235,10
260,18
285,5
310,4
335,25
360,22
385,22
410,9
435,11
460,19
485,16
510,7
535,6
560,5
585,2
610,5
635,1
660,4
685,7
710,22
735,18
760,10
785,2
810,3
835,3
860,9
885,3
910,6
935,4
960,4
985,3
1010,12
1035,32
1060,23
1085,12
1110,11
1135,12
1160,2
1185,14
1210,21
1235,10
1260,10
1285,26
1310,27
1335,20
1360,8
1385,3
1410,4
1435,3
1460,3
1485,6
1510,28
1535,22
1560,15
1585,8
1610,13
1635,13
1660,10
1685,4
1710,3
1735,10
1760,4
1785,7
1810,4
1835,5
1860,10
1885,6
1910,4
1935,24
1960,23
1985,28
2010,50
2035,45
2060,38
2085,34
2110,26
2135,14
2160,33
2185,28
2210,19
2235,18
2260,10
2285,4
2310,6
2335,2
2360,12
2385,4
2410,2
2435,4
2460,2
2485,3
2510,8
2535,3
2560,1
2585,12
2610,24
2635,25
2660,20
2685,24
2710,10
2735,6
2760,18
2785,29
2810,22
2835,12
2860,3
2885,10
2910,22
2935,31
2960,24
2985,7
3010,5
3035,4
3060,2
3085,3
3110,2
3135,3
3160,2
3185,2
3210,3
3235,4
3260,7
3285,4
3310,10
3335,6
3360,1
3385,2
3410,1
3435,2
3460,4
3485,9
3510,12
3535,16
3560,5
3585,1
3610,5
3635,8
3660,15
3685,16
3710,9
3735,3
3760,1
3785,1
3810,3
3835,2
3860,11
3885,15
3910,3
3935,12
3960,24
3985,21
4010,17
4035,16
4060,7
4085,3
4110,1
4135,2
4160,9
4185,7
4210,4
4235,9
4260,3
4285,1
4310,2
4335,5
4360,6
4385,3
4410,4
4435,9
4460,16
4485,27
4510,21
4535,14
4560,6
4585,2
4610,3
4635,7
4660,4
4685,2
4710,3
4735,5
4760,2
4785,5
4810,10
4835,4
4860,3
4885,3
4910,7
4935,2
4960,4
4985,2
5010,4
5035,11
5060,8
5085,3
5110,9
5135,3
5160,9
